Retrieving normalised data from file...
... data loaded.
num_classes = 43
Training with EPOCHS=700 BATCH_SIZE=256 rate=<dynamic> num_colours=3 layer1 depth=24

Epochs	Validation Accuracy
1	0.311565
2	0.379365
3	0.424490
4	0.429705
5	0.428345
6	0.427891
7	0.428118
8	0.427891
9	0.428345
10	0.449206
11	0.448980
12	0.451020
13	0.449206
14	0.451020
15	0.475057
16	0.497279
17	0.508844
18	0.538776
19	0.543991
20	0.544444
21	0.544444
22	0.555102
23	0.554875
24	0.553968
25	0.595465
26	0.595692
27	0.592517
28	0.596145
29	0.615193
30	0.642177
31	0.656463
32	0.656236
33	0.657143
34	0.657143
35	0.658503
36	0.660998
37	0.661451
38	0.675057
39	0.677098
40	0.676644
41	0.675510
42	0.726757
43	0.726757
44	0.727438
45	0.727438
46	0.726984
47	0.728571
48	0.742857
49	0.741270
50	0.743764
51	0.743991
52	0.744218
53	0.743764
54	0.743991
55	0.751020
56	0.768707
57	0.770068
58	0.774830
59	0.761451
60	0.774150
61	0.775737
62	0.775510
63	0.775510
64	0.775283
65	0.775964
66	0.783447
67	0.786168
68	0.784580
69	0.785941
70	0.784580
71	0.783900
72	0.790249
73	0.782540
74	0.788889
75	0.786168
76	0.788209
77	0.814966
78	0.819048
79	0.822449
80	0.821995
81	0.822676
82	0.822449
83	0.823810
84	0.823129
85	0.821315
86	0.820862
87	0.830839
88	0.833333
89	0.833107
90	0.831746
91	0.834467
92	0.831293
93	0.832880
94	0.834694
95	0.833787
96	0.834467
97	0.835374
98	0.834694
99	0.835601
100	0.835828
101	0.843537
102	0.843991
103	0.844218
104	0.847166
105	0.848753
106	0.849660
107	0.849660
108	0.850113
109	0.849660
110	0.849206
111	0.851247
112	0.849887
113	0.850567
114	0.852154
115	0.851701
116	0.851701
117	0.851701
118	0.851247
119	0.851247
120	0.851020
121	0.850794
122	0.850340
123	0.849887
124	0.851020
125	0.854195
126	0.839002
127	0.852381
128	0.853968
129	0.858503
130	0.855782
131	0.856689
132	0.856236
133	0.855782
134	0.855102
135	0.856009
136	0.856009
137	0.857143
138	0.856689
139	0.856463
140	0.856463
141	0.857370
142	0.856916
143	0.880045
144	0.881179
145	0.887755
146	0.889116
147	0.889796
148	0.889796
149	0.887075
150	0.887302
151	0.887302
152	0.888662
153	0.887528
154	0.887302
155	0.887302
156	0.887075
157	0.887075
158	0.886848
159	0.887302
160	0.887302
161	0.887755
162	0.886848
163	0.879138
164	0.892517
165	0.895465
166	0.895692
167	0.895918
168	0.895918
169	0.895692
170	0.895918
171	0.895918
172	0.896599
173	0.897959
174	0.898186
175	0.902721
176	0.900227
177	0.904762
178	0.904762
179	0.904535
180	0.903855
181	0.904308
182	0.904535
183	0.904308
184	0.904762
185	0.904989
186	0.904989
187	0.905215
188	0.904762
189	0.905896
190	0.903855
191	0.904308
192	0.905215
193	0.904762
194	0.904762
195	0.904082
196	0.891156
197	0.903628
198	0.904082
199	0.903628
200	0.905442
201	0.905442
202	0.906122
203	0.905896
204	0.905669
205	0.907029
206	0.906803
207	0.907029
208	0.907256
209	0.905896
210	0.906803
211	0.906576
212	0.907256
213	0.908617
214	0.907256
215	0.907937
216	0.907937
217	0.908163
218	0.909070
219	0.907710
220	0.908844
221	0.908163
222	0.908617
223	0.909297
224	0.909297
225	0.909524
226	0.908617
227	0.908844
228	0.908617
229	0.909297
230	0.908617
231	0.909297
232	0.909070
233	0.899320
234	0.913605
235	0.911111
236	0.910204
237	0.910884
238	0.911565
239	0.907937
240	0.908844
241	0.909524
242	0.909751
243	0.909751
244	0.909297
245	0.910204
246	0.909977
247	0.910431
248	0.909977
249	0.910431
250	0.909977
251	0.910658
252	0.910431
253	0.911111
254	0.911338
255	0.911111
256	0.911338
257	0.911338
258	0.911111
259	0.910884
260	0.911338
261	0.911565
262	0.909977
263	0.910204
264	0.910431
265	0.910204
266	0.910204
267	0.909977
268	0.911111
269	0.911111
270	0.910884
271	0.912698
272	0.911111
273	0.910204
274	0.901814
275	0.909977
276	0.910884
277	0.909524
278	0.909070
279	0.909070
280	0.908390
281	0.909070
282	0.909297
283	0.909524
284	0.909524
285	0.909751
286	0.909751
287	0.909524
288	0.909524
289	0.909977
290	0.909751
291	0.909297
292	0.909977
293	0.909751
294	0.909297
295	0.904762
296	0.918367
297	0.920635
298	0.909070
299	0.920635
300	0.917234
301	0.917234
302	0.916553
303	0.916327
304	0.916327
305	0.916780
306	0.916553
307	0.916780
308	0.916553
309	0.916780
310	0.916780
311	0.916553
312	0.916553
313	0.917687
314	0.917460
315	0.918141
316	0.913152
317	0.917234
318	0.918367
319	0.913832
320	0.913832
321	0.914059
322	0.914739
323	0.914512
324	0.914286
325	0.914286
326	0.914739
327	0.915193
328	0.914739
329	0.915420
330	0.916327
331	0.915873
332	0.915873
333	0.916100
334	0.916780
335	0.917007
336	0.917007
337	0.917687
338	0.918367
339	0.918141
340	0.917687
341	0.917460
342	0.919048
343	0.919048
344	0.919501
345	0.920862
346	0.919274
347	0.920408
348	0.919048
349	0.919274
350	0.919501
351	0.920635
352	0.919728
353	0.918821
354	0.919955
355	0.920408
356	0.921088
357	0.920635
358	0.921315
359	0.920862
360	0.921995
361	0.921769
362	0.922676
363	0.923129
364	0.922449
365	0.923129
366	0.923583
367	0.923810
368	0.923129
369	0.924263
370	0.924036
371	0.924036
372	0.924943
373	0.924943
374	0.924943
375	0.925397
376	0.924717
377	0.926531
378	0.924036
379	0.924717
380	0.924717
381	0.925850
382	0.925397
383	0.926077
384	0.925170
385	0.926077
386	0.924263
387	0.924263
388	0.924036
389	0.925397
390	0.930385
391	0.929478
392	0.934921
393	0.934921
394	0.935374
395	0.934921
396	0.934921
397	0.934694
398	0.935374
399	0.934467
400	0.934467
401	0.934014
402	0.934240
403	0.934694
404	0.934240
405	0.934240
406	0.934467
407	0.934694
408	0.934014
409	0.934467
410	0.934467
411	0.934467
412	0.934467
413	0.934467
414	0.934467
415	0.934240
416	0.934240
417	0.934240
418	0.933787
419	0.933560
420	0.933560
421	0.933787
422	0.933333
423	0.933787
424	0.933560
425	0.934240
426	0.934921
427	0.935147
428	0.935147
429	0.935601
430	0.934921
431	0.934921
432	0.934694
433	0.934921
434	0.934014
435	0.935601
436	0.935601
437	0.935374
438	0.933560
439	0.934921
440	0.934467
441	0.935374
442	0.934921
443	0.934694
444	0.934014
445	0.934467
446	0.934240
447	0.934240
448	0.935147
449	0.923810
450	0.931066
451	0.935828
452	0.936508
453	0.936961
454	0.936961
455	0.937415
456	0.937868
457	0.937868
458	0.937868
459	0.937868
460	0.938549
461	0.937642
462	0.939002
463	0.938776
464	0.939456
465	0.939229
466	0.939456
467	0.939683
468	0.936961
469	0.937868
470	0.937868
471	0.937188
472	0.937642
473	0.937415
474	0.937642
475	0.937642
476	0.937415
477	0.937868
478	0.938095
479	0.938776
480	0.938549
481	0.938549
482	0.938776
483	0.938776
484	0.938776
485	0.938549
486	0.938549
487	0.939456
488	0.939229
489	0.939456
490	0.939002
491	0.939456
492	0.939229
493	0.939002
494	0.939002
495	0.939683
496	0.939683
497	0.939683
498	0.939683
499	0.939229
500	0.939683
501	0.940816
502	0.939683
